Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,25/07/2024,Vente,62500.0,10.0,,RUE,1870,CHANTRE,33000.0,BORDEAUX,33,63,,DC,384,,8,"35,59",,,,,,,,,1,2.0,Appartement,,41.0,2.0,,,,1524.3902439024391
,,,,,,,1,19/07/2024,Vente,843100.0,67.0,,RUE,3145,EMILE DREUX,33200.0,BORDEAUX,33,63,,OE,4,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,327.0,inf
,,,,,,,1,19/07/2024,Vente,843100.0,67.0,,RUE,3145,EMILE DREUX,33200.0,BORDEAUX,33,63,,OE,4,,,,,,,,,,,,0,1.0,Maison,,98.0,4.0,S,,327.0,8603.061224489797
,,,,,,,1,29/07/2024,Vente,92000.0,118.0,,RUE,6260,MAZARIN,33000.0,BORDEAUX,33,63,,EB,127,,9,"26,06",,,,,,,,,1,2.0,Appartement,,24.0,1.0,,,,3833.3333333333335
,,,,,,,1,24/07/2024,Vente,135500.0,62.0,,AV,4705,JEANNE D ARC,33000.0,BORDEAUX,33,63,,HX,108,,28,"35,77",7,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,24/07/2024,Vente,135500.0,62.0,,AV,4705,JEANNE D ARC,33000.0,BORDEAUX,33,63,,HX,108,,28,"35,77",7,,,,,,,,2,2.0,Appartement,,35.0,2.0,,,,3871.4285714285716
,,,,,,,1,24/07/2024,Vente,135500.0,62.0,,AV,4705,JEANNE D ARC,33000.0,BORDEAUX,33,63,,HX,108,,18,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,26/07/2024,Vente,272000.0,13.0,,RUE,3022,DES ECHOPPES,33800.0,BORDEAUX,33,63,,BZ,210,,305,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,26/07/2024,Vente,272000.0,19.0,,PROM,2042,DES CHEMINOTS,33800.0,BORDEAUX,33,63,,BZ,210,,116,"78,32",,,,,,,,,1,2.0,Appartement,,78.0,4.0,,,,3487.1794871794873
,,,,,,,1,18/07/2024,Vente,246977.0,45.0,,RUE,8255,SAINT JAMES,33000.0,BORDEAUX,33,63,,HD,368,,3,"51,77",,,,,,,,,1,2.0,Appartement,,47.0,3.0,,,,5254.829787234043
,,,,,,,1,16/07/2024,Vente,142000.0,39.0,,RUE,1140,BOUQUIERE,33000.0,BORDEAUX,33,63,,HE,178,,6,"36,87",,,,,,,,,1,2.0,Appartement,,34.0,1.0,,,,4176.470588235294
