Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,09/10/2024,Vente,164000.0,3.0,,RUE,5199,KANT,59000.0,LILLE,59,350,,EO,135,,1017,"40,95",,,,,,,,,1,2.0,Appartement,,41.0,2.0,,,,4000.0
,,,,,,,1,23/09/2024,Vente,17500.0,281.0,,RUE,8364,DE SOLFERINO,59000.0,LILLE,59,350,,LY,208,,110,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/09/2024,Vente,230000.0,31.0,,RUE,9476,HENRI BAILLEUX,59160.0,LILLE,59,350,355.0,C,2821,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,,85.0,0.0,S,,227.0,2705.8823529411766
,,,,,,,1,30/09/2024,Vente,230000.0,31.0,,RUE,9476,HENRI BAILLEUX,59160.0,LILLE,59,350,355.0,C,2821,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,227.0,inf
,,,,,,,1,30/09/2024,Vente,230000.0,31.0,,RUE,9476,HENRI BAILLEUX,59160.0,LILLE,59,350,355.0,C,2821,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0.0,S,,227.0,inf
,,,,,,,1,30/09/2024,Vente,230000.0,31.0,,RUE,9476,HENRI BAILLEUX,59160.0,LILLE,59,350,355.0,C,2821,,,,,,,,,,,,0,2.0,Appartement,,50.0,2.0,S,,227.0,4600.0
,,,,,,,1,30/09/2024,Vente,230000.0,31.0,,RUE,9476,HENRI BAILLEUX,59160.0,LILLE,59,350,355.0,C,2821,,,,,,,,,,,,0,2.0,Appartement,,50.0,2.0,S,,227.0,4600.0
,,,,,,,1,01/10/2024,Vente,136000.0,87.0,,RUE,5832,MALSENCE,59800.0,LILLE,59,350,,CH,173,,,,,,,,,,,,0,1.0,Maison,,45.0,3.0,S,,33.0,3022.222222222222
,,,,,,,1,10/10/2024,Vente,180000.0,44.0,,RUE,5056,JORDAENS,59000.0,LILLE,59,350,,DI,74,,,,,,,,,,,,0,1.0,Maison,,86.0,5.0,S,,95.0,2093.0232558139537
,,,,,,,1,14/10/2024,Vente,100000.0,35.0,,RUE,7099,DES POSTES,59000.0,LILLE,59,350,,OS,246,,2,"28,03",,,,,,,,,1,2.0,Appartement,,23.0,2.0,,,,4347.826086956522
,,,,,,,1,02/10/2024,Vente,128000.0,20.0,,RUE,9134,VICTOR RENARD,59000.0,LILLE,59,350,,DI,20,,53,"73,17",,,,,,,,,1,2.0,Appartement,,73.0,4.0,,,,1753.4246575342465
,,,,,,,1,02/10/2024,Vente,128000.0,20.0,,RUE,9134,VICTOR RENARD,59000.0,LILLE,59,350,,DI,20,,9,"73,17",,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,23/09/2024,Vente,10000.0,72.0,,RUE,5677,DE LOOS,59000.0,LILLE,59,350,,IS,2,,5,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,23/09/2024,Vente,10000.0,4.0,,RUE,0323,ARAGO,59000.0,LILLE,59,350,,OZ,141,,6,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,23/09/2024,Vente,10000.0,46.0,,RUE,3749,GANTOIS,59000.0,LILLE,59,350,,RZ,290,,5,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/09/2024,Vente,160000.0,13.0,,RUE,9229,VIRGINIE GHESQUIERE,59000.0,LILLE,59,350,,MY,151,,5,"34,25",8,,,,,,,,2,2.0,Appartement,,32.0,2.0,,,,5000.0
,,,,,,,1,30/09/2024,Vente,160000.0,13.0,,RUE,9229,VIRGINIE GHESQUIERE,59000.0,LILLE,59,350,,MY,151,,5,"34,25",8,,,,,,,,2,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,10/10/2024,Vente,1050000.0,19.0,,SQ,2931,DUTILLEUL,59800.0,LILLE,59,350,,KR,164,,3,"309,10",,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,199.0,0.0,,,,5276.381909547738
,,,,,,,1,10/10/2024,Vente,1050000.0,3.0,,RUE,1074,DE BOURGOGNE,59800.0,LILLE,59,350,,KR,164,,13,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0.0,,,,87500.0
,,,,,,,1,10/10/2024,Vente,1050000.0,3.0,,RUE,1074,DE BOURGOGNE,59800.0,LILLE,59,350,,KR,164,,14,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0.0,,,,87500.0
,,,,,,,1,10/10/2024,Vente,1050000.0,3.0,,RUE,1074,DE BOURGOGNE,59800.0,LILLE,59,350,,KR,164,,16,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0.0,,,,87500.0
,,,,,,,1,10/10/2024,Vente,1050000.0,3.0,,RUE,1074,DE BOURGOGNE,59800.0,LILLE,59,350,,KR,164,,15,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0.0,,,,87500.0
,,,,,,,1,10/10/2024,Vente,1050000.0,19.0,,SQ,2931,DUTILLEUL,59800.0,LILLE,59,350,,KR,164,,3,"309,10",,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,112.0,0.0,,,,9375.0
,,,,,,,1,09/10/2024,Vente,173000.0,14.0,,RUE,2001,DE CRIMEE,59000.0,LILLE,59,350,,IY,217,,3026,"45,86",,,,,,,,,1,2.0,Appartement,,48.0,2.0,,,,3604.1666666666665
,,,,,,,1,09/10/2024,Vente,173000.0,11.0,,BD,6256,DE LA MOSELLE,59000.0,LILLE,59,350,,IY,217,,10056,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,11/10/2024,Vente,164000.0,52.0,,RUE,5531,LEONARD DANEL,59800.0,LILLE,59,350,,KV,117,,4,"40,84",,,,,,,,,1,2.0,Appartement,,41.0,3.0,,,,4000.0
,,,,,,,1,30/09/2024,Vente,125000.0,2.0,T,RUE,4289,GUSTAVE TESTELIN,59000.0,LILLE,59,350,,IT,218,,65,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,30/09/2024,Vente,125000.0,4.0,B,RUE,4289,GUSTAVE TESTELIN,59000.0,LILLE,59,350,,IT,218,,11,"37,27",,,,,,,,,1,2.0,Appartement,,37.0,1.0,,,,3378.3783783783783
,,,,,,,1,18/09/2024,Vente,136000.0,70.0,B,RUE,4274,GUSTAVE DELORY,59800.0,LILLE,59,350,,TO,2,,145,,,,,,,,,,1,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,18/09/2024,Vente,136000.0,65.0,,AV,7144,DU PRESIDENT KENNEDY,59800.0,LILLE,59,350,,TO,7,,103,,122,,138,,,,,,3,3.0,Dépendance,,0.0,0.0,,,,inf
,,,,,,,1,18/09/2024,Vente,136000.0,65.0,,AV,7144,DU PRESIDENT KENNEDY,59800.0,LILLE,59,350,,TO,7,,103,,122,,138,,,,,,3,2.0,Appartement,,42.0,2.0,,,,3238.095238095238
