Surface reelle bati,Nombre pieces principales,Surface terrain,Nombre de lots,prix_m2
67.0,4.0,280.0,0,3492.5373134328356
135.0,4.0,44.0,0,2177.777777777778
80.0,4.0,177.0,0,2000.0
98.0,4.0,54.0,0,2628.5714285714284
80.0,4.0,142.0,0,4460.625
86.0,4.0,81.0,0,3516.046511627907
87.0,4.0,188.0,0,1764.367816091954
72.0,4.0,227.0,0,3057.6388888888887
76.0,4.0,150.0,0,3631.5789473684217
136.0,4.0,739.0,0,3250.0
150.0,4.0,126.0,0,2166.6666666666665
79.0,4.0,58.0,0,2311.3924050632913
83.0,4.0,240.0,0,1174.698795180723
95.0,4.0,121.0,0,2446.0947368421052
51.0,4.0,45.0,0,2156.8627450980393
76.0,4.0,105.0,0,2039.4736842105265
70.0,4.0,101.0,0,2785.714285714286
110.0,4.0,117.0,0,1213.6363636363635
87.0,4.0,164.0,0,2586.206896551724
95.0,4.0,26.0,0,3843.157894736842
81.0,4.0,108.0,0,2901.234567901234
78.0,4.0,107.0,0,2628.2051282051284
109.0,4.0,75.0,0,2427.5229357798166
60.0,4.0,135.0,0,3866.6666666666665
60.0,4.0,60.0,0,1133.3333333333333
90.0,4.0,71.0,0,3005.5555555555557
108.0,4.0,250.0,0,3231.4814814814813
106.0,4.0,242.0,0,2547.169811320755
80.0,4.0,108.0,0,2212.5
92.0,4.0,82.0,0,3923.913043478261
77.0,4.0,132.0,0,1389.6103896103896
66.0,4.0,72.0,0,2878.787878787879
66.0,4.0,66.0,0,3086.3636363636365
68.0,4.0,120.0,0,3117.6470588235293
74.0,4.0,42.0,0,3040.5405405405404
87.0,4.0,272.0,0,2758.620689655173
81.0,4.0,127.0,0,2895.58024691358
96.0,4.0,205.0,0,3644.7916666666665
80.0,4.0,144.0,0,2187.5
135.0,4.0,113.0,0,2429.6296296296296
78.0,4.0,150.0,0,3251.923076923077
85.0,4.0,156.0,0,2588.235294117647
75.0,4.0,106.0,0,2693.3333333333335
72.0,4.0,35.0,0,2055.5555555555557
70.0,4.0,84.0,0,3571.4285714285716
93.0,4.0,247.0,0,3419.3548387096776
82.0,4.0,301.0,0,2975.609756097561
93.0,4.0,347.0,0,3230.1075268817203
